sent_id,sentence,construction_type,n_words,n_variants,prev_valence,prev_arousal,prev_coverage,prev_n_matched,prev_sentence,dep_len_mean,info_status_mean,trigram_surprisal_mean,lstm_surprisal_mean,adaptive_surprisal_mean,lex_rept_surprisal_mean,pcfg_surprisal_mean,label
train-s10028,खंडपीठ ने एमएचसीसी की रिपोर्ट के संदर्भ में कहा कि इस क्षेत्र में इमारतों के निर्माण और संपत्तियों के विकास संबंधी सभी प्रस्ताव मंजूरी के लिए उसके पास ही आए हैं ।,SOV,32,1,0.0294,0.4946,0.6364,21,चूंकि हाईकोर्ट ने स्पष्ट किया है कि महाराष्ट्र हेरिटेज कंजरवेशन कमेटी (एमएचसीसी) ने कहा है कि राज्य सरकार का इरादा इस क्षेत्र को संरक्षित संपदा के तौर पर लेना है ।,4.0,0.0,-3.1754,-0.426,0.8103,-3.2358,2.8996,1
train-s10032,पिछले साल नवंबर से भारत - पाक सीमा पर गोलियों की आवाज शांत होने के बाद पहली बार दोनों देश इस गंभीर मुद्दे पर बातचीत करने को तैयार हैं ।,SOV,30,99,0.1076,0.4879,0.6875,22,खंडपीठ ने एमएचसीसी की रिपोर्ट के संदर्भ में कहा कि इस क्षेत्र में इमारतों के निर्माण और संपत्तियों के विकास संबंधी सभी प्रस्ताव मंजूरी के लिए उसके पास ही आए हैं ।,-25.0303,0.0,-36.4464,-15.3113,-16.4984,-33.7221,-6.9058,1
train-s10036,प्रधानमंत्री मनमोहन सिंह द्वारा राष्ट्र के नाम संदेश में पड़ोसी देशों के साथ कश्मीर सहित सभी लंबित मसलों के हल के लिए बातचीत को जारी रखने की प्रतिबद्धता के बाद २७ जून से शुरू होने जा रही वार्ता को नया जोश मिला है ।,IOSV,44,1,0.0465,0.4799,0.6333,19,पिछले साल नवंबर से भारत - पाक सीमा पर गोलियों की आवाज शांत होने के बाद पहली बार दोनों देश इस गंभीर मुद्दे पर बातचीत करने को तैयार हैं ।,-37.0,0.0,-11.6328,-4.3851,-13.3793,-11.6328,-3.961,1
train-s10042,दोनों देशों के बीच बातचीत शुरू करने का फैसला पिछले जनवरी महीने में इस्लामाबाद में हुए सार्क सम्मेलन के दौरान पाकिस्तानी राष्ट्रपति मुशर्रफ और भारत के तत्कालीन प्रधानमंत्री अटल बिहारी वाजपेयी ने किया था ।,DOSV,35,5,0.1701,0.4961,0.75,33,प्रधानमंत्री मनमोहन सिंह द्वारा राष्ट्र के नाम संदेश में पड़ोसी देशों के साथ कश्मीर सहित सभी लंबित मसलों के हल के लिए बातचीत को जारी रखने की प्रतिबद्धता के बाद २७ जून से शुरू होने जा रही वार्ता को नया जोश मिला है ।,3.6,0.0,-1.2516,6.9151,5.8272,-1.2533,4.7838,1
train-s10043,भारत में पाकिस्तान के उच्चायुक्त अजीज अहमद खान ने एक टेलीविजन पर प्रसारित समाचार में कहा कि पाकिस्तान को कश्मीर मसले के हल को लेकर इस वार्ता से काफी उम्मीदें हैं ।,SOV,32,5,0.0285,0.5016,0.4857,17,दोनों देशों के बीच बातचीत शुरू करने का फैसला पिछले जनवरी महीने में इस्लामाबाद में हुए सार्क सम्मेलन के दौरान पाकिस्तानी राष्ट्रपति मुशर्रफ और भारत के तत्कालीन प्रधानमंत्री अटल बिहारी वाजपेयी ने किया था ।,4.8,0.0,-8.3123,-2.3903,-1.4627,-7.8691,0.137,1
train-s10048,गृहमंत्री ने अंतर्राज्यीय उड़ानों के लिए राज्य सरकारों को अपनी विमान सेवा शुरू करने को हरी झंडी दे दी है ।,SOV,21,99,0.032,0.5228,0.5938,19,भारत में पाकिस्तान के उच्चायुक्त अजीज अहमद खान ने एक टेलीविजन पर प्रसारित समाचार में कहा कि पाकिस्तान को कश्मीर मसले के हल को लेकर इस वार्ता से काफी उम्मीदें हैं ।,2.0202,0.0,-20.1813,-17.09,-13.8404,-20.0979,-5.8265,1
train-s1005,कर्नाटक महिला आयोग को लिखित में अंजलि ने कहा था कि वह अपनी जान ले सकती हैं ।,IOSV,18,5,0.0111,0.4847,0.7333,22,वायुसेना के अभियोजन अधिकारी विंग कमांडर आर. के. दुबे ने सैनिक अदालत को सूचित किया कि डॉक्टरों का पैनल गठित किया गया है और जांच की जा रही है ।,-2.4,0.0,-3.8191,1.393,1.3974,-3.8249,-1.1406,1
train-s10055,वह शीघ्र ही अपनी सिफारिशें सरकार को दे देगी ।,SOV,10,23,0.0937,0.4642,0.5714,12,गृहमंत्री ने अंतर्राज्यीय उड़ानों के लिए राज्य सरकारों को अपनी विमान सेवा शुरू करने को हरी झंडी दे दी है ।,1.5652,1.0435,-9.1322,1.9342,3.077,-7.1225,-0.0424,1
train-s10057,"बाद में पत्रकारों से बातचीत में पाटिल ने कहा कि सम्मेलन में क्षेत्रीय हवाई सेवा शुरू करने, पंचायती राज संस्थाओं को मजबूती प्रदान करने व शक्तियों के हस्तांतरण, बिजली व पानी के बंटवारे के अलावा क्षेत्रीय व राष्ट्रीय राजधानी क्षेत्र नियोजन के अलावा सूचना के अधिकार और फलों व फूलों की खेती पर चर्चा हुई ।",IOSV,58,23,0.1169,0.4758,0.6,6,वह शीघ्र ही अपनी सिफारिशें सरकार को दे देगी ।,0.0,0.0,-14.4634,-6.4457,-5.8182,-14.4634,-1.896,1
train-s10058,पंजाब पुनर्गठन कानून के मुद्दे पर उन्होंने कहा कि इस पर दोनों प्रदेशों के मुख्यमंत्रियों को बातचीत करनी होगी ।,SOV,20,1,0.1381,0.5003,0.6552,38,"बाद में पत्रकारों से बातचीत में पाटिल ने कहा कि सम्मेलन में क्षेत्रीय हवाई सेवा शुरू करने, पंचायती राज संस्थाओं को मजबूती प्रदान करने व शक्तियों के हस्तांतरण, बिजली व पानी के बंटवारे के अलावा क्षेत्रीय व राष्ट्रीय राजधानी क्षेत्र नियोजन के अलावा सूचना के अधिकार और फलों व फूलों की खेती पर चर्चा हुई ।",-5.0,-2.0,-4.3146,-5.9697,-7.4511,-3.715,-3.9749,1
train-s1006,इसके साथ ही उन्होंने सोमवार तक का समय मांगा ।,SOV,10,5,0.1906,0.4847,0.5,9,कर्नाटक महिला आयोग को लिखित में अंजलि ने कहा था कि वह अपनी जान ले सकती हैं ।,1.2,0.0,-18.2929,-5.8296,-6.5199,-18.2311,-3.4955,1
train-s10061,दोनों राज्यों को इस मुद्दे को बातचीत से हल करने का प्रयास करना चाहिए ।,SOV,15,5,0.0287,0.5409,0.5,10,पंजाब पुनर्गठन कानून के मुद्दे पर उन्होंने कहा कि इस पर दोनों प्रदेशों के मुख्यमंत्रियों को बातचीत करनी होगी ।,3.6,0.0,-20.5186,-9.8376,-9.3297,-12.1261,-4.0515,1
train-s10064,देवास और नरंजीपुर रेलवे स्टेशन के बीच इंदौर - भोपाल पैसेंजर के दो डिब्बे शनिवार रात पटरी से उतर गए ।,SOV,21,23,0.1322,0.5514,0.6667,10,दोनों राज्यों को इस मुद्दे को बातचीत से हल करने का प्रयास करना चाहिए ।,-10.4348,0.0,-2.9887,3.5591,5.3775,-2.9937,0.364,1
train-s10068,पाक परस्त आतंकियों ने पाश्विकता की सभी हदें पार करते हुए इरकान के अपहृत इंजीनियर और उसके भाई की गला रेत कर हत्या कर दी ।,SOV,26,99,-0.0001,0.5201,0.5238,11,देवास और नरंजीपुर रेलवे स्टेशन के बीच इंदौर - भोपाल पैसेंजर के दो डिब्बे शनिवार रात पटरी से उतर गए ।,-10.6768,0.0,-26.667,-16.8901,-20.1962,-26.667,-6.5251,1
train-s10069,इरकान के इंजीनियर सुधीर कुमार पुंडीर और उसके भाई संदीप पुंडीर के साथ अगवा किए गए अन्य दो स्थानीय लोगों को आतंकियों ने बुधवार की रात को ही रिहा कर दिया था ।,DOSV,33,23,-0.0043,0.4989,0.6154,16,पाक परस्त आतंकियों ने पाश्विकता की सभी हदें पार करते हुए इरकान के अपहृत इंजीनियर और उसके भाई की गला रेत कर हत्या कर दी ।,-29.7391,0.0,-13.4078,-15.8503,-15.5851,-11.5552,-1.6762,1
train-s10073,दोनों के शव स्थानीय ग्रामीणों ने सुबह ९.३० बजे के करीब देखे और पुलिस को बताया ।,DOSV,17,23,0.0615,0.4451,0.5455,18,इरकान के इंजीनियर सुधीर कुमार पुंडीर और उसके भाई संदीप पुंडीर के साथ अगवा किए गए अन्य दो स्थानीय लोगों को आतंकियों ने बुधवार की रात को ही रिहा कर दिया था ।,0.5217,0.0,-6.416,-2.541,-2.329,-8.2474,-0.4937,1
train-s10075,दोनों भाइयों को आतंकियों ने बड़ी निर्ममता के साथ मौत के घाट उतारा ।,DOSV,14,23,-0.174,0.5485,0.5882,10,दोनों के शव स्थानीय ग्रामीणों ने सुबह ९.३० बजे के करीब देखे और पुलिस को बताया ।,1.0435,0.0,-12.3071,-4.6431,-7.1834,-11.9278,-2.3891,1
train-s1008,इसके बाद कोर्ट ने मामले की सुनवाई सोमवार तक स्थगित कर दी ।,SOV,13,99,0.1051,0.4668,0.5,5,इसके साथ ही उन्होंने सोमवार तक का समय मांगा ।,-1.899,1.0303,-33.4728,-9.7737,-9.8591,-25.3445,-7.5838,1
train-s10080,आतंकियों ने तेज धारदार हथियारों से उनके गले रेत दिए ।,SOV,11,5,-0.195,0.5289,0.6429,9,दोनों भाइयों को आतंकियों ने बड़ी निर्ममता के साथ मौत के घाट उतारा ।,0.0,0.0,-3.3489,-0.9257,-0.2333,-1.4841,-3.013,1
train-s10081,पुलिस को उनकी सिर कटी लाशें मिलीं ।,IOSV,8,1,0.0265,0.5273,0.5455,6,आतंकियों ने तेज धारदार हथियारों से उनके गले रेत दिए ।,2.0,0.0,-12.7248,-3.9415,-2.032,-12.7248,-0.0964,1
train-s10083,"इसके अलावा जिस सूमो टैक्सी में इंजीनियर सुधीर और उसका भाई संदीप अन्य दो लोगों के साथ थे, उसे पुलिस ने शुक्रवार की सुबह चिचलीपोरा गांव के पास से लावारिस हालत में बरामद किया है ।",DOSV,37,99,-0.0583,0.5601,0.375,3,पुलिस को उनकी सिर कटी लाशें मिलीं ।,-47.798,0.9697,-9.9398,-12.6655,-13.0938,-10.3868,-8.0391,1
train-s10086,आतंकियों ने इन चारों को रास्ते में अगवा कर लिया ।,SOV,11,23,0.0174,0.4975,0.6757,25,"इसके अलावा जिस सूमो टैक्सी में इंजीनियर सुधीर और उसका भाई संदीप अन्य दो लोगों के साथ थे, उसे पुलिस ने शुक्रवार की सुबह चिचलीपोरा गांव के पास से लावारिस हालत में बरामद किया है ।",-2.087,0.0,-13.0098,-11.2234,-10.9065,-13.0078,-3.1147,1
train-s10087,आतंकियों ने इंजीनियर और उसके भाई को रिहा करने के बदले ५० लाख की फिरौती मांगी थी ।,SOV,18,5,-0.1027,0.5111,0.5455,6,आतंकियों ने इन चारों को रास्ते में अगवा कर लिया ।,2.4,0.0,-7.5813,-9.566,-11.5813,-5.8842,-4.1901,1
train-s10093,मुज्जफरपुर में अधिकारियों ने एक अस्पताल में राजग संयोजक जॉर्ज फर्नडिस द्वारा एक महिला को पैसे देने को रिश्वत मानते हुए उनके खिलाफ केस दर्ज किया है ।,SOV,28,99,0.022,0.5067,0.5,9,आतंकियों ने इंजीनियर और उसके भाई को रिहा करने के बदले ५० लाख की फिरौती मांगी थी ।,-8.9091,-0.0404,-18.784,-16.1225,-13.1516,-18.7783,-5.3775,1
train-s10099,आयोग ने चुनाव संहिता लागू होने के बाद लालू की ओर से बिहार में ग्रामीणों को नोट बांटने पर संज्ञान लेते हुए नोटिस जारी किया था ।,SOV,27,99,0.0076,0.502,0.5,14,मुज्जफरपुर में अधिकारियों ने एक अस्पताल में राजग संयोजक जॉर्ज फर्नडिस द्वारा एक महिला को पैसे देने को रिश्वत मानते हुए उनके खिलाफ केस दर्ज किया है ।,-18.2828,0.0,-24.9062,-14.8456,-14.1725,-22.9867,-8.5102,1
train-s101,बाद में उसके बेटे बागभट्ट ने किले में बसे शहर को खूबसूरत बनाया ।,SOV,14,23,0.0982,0.4521,0.7143,10,जुलाई से लेकर मार्च तक का समय यहाँ जाने के लिए उपयुक्त है ।,-1.0435,0.0,-15.6768,-5.7287,-8.1972,-14.0993,-4.8591,1
train-s10101,इस मौके पर बुधवार को राष्ट्रपति ए. पी. जे. अब्दुल कलाम भूटान नरेश जिग्मे सिंगे वांगचुक और देश के प्रमुख राजनेताओं एवं सैनिक अधिकारियों की मौजूदगी में परेड की सलामी लेंगे ।,SOV,32,99,0.0281,0.5212,0.5185,14,आयोग ने चुनाव संहिता लागू होने के बाद लालू की ओर से बिहार में ग्रामीणों को नोट बांटने पर संज्ञान लेते हुए नोटिस जारी किया था ।,13.4444,0.0,-7.8521,-7.3032,-7.8974,-7.8066,-2.3681,1
train-s10102,दिल्ली पुलिस के विशेष आयुक्त बी. के. गुप्ता ने यहां पत्रकारों से कहा कि आतंकवादियों द्वारा लंबी दूरी के हथियारों को इस्तेमाल कर परेड में बाधा डालने की खुफिया रिपोर्ट और हाल ही में कोलकाता में बड़ी संख्या में टेलीस्कोप बरामद करने के बाद आतंकवादी प्रयासों को विफल करने के लिए सुरक्षा के विशेष उपाय किए गए हैं ।,SOV,59,5,0.1549,0.5462,0.4375,14,इस मौके पर बुधवार को राष्ट्रपति ए. पी. जे. अब्दुल कलाम भूटान नरेश जिग्मे सिंगे वांगचुक और देश के प्रमुख राजनेताओं एवं सैनिक अधिकारियों की मौजूदगी में परेड की सलामी लेंगे ।,-8.4,-1.2,-11.7112,-4.1653,-4.1387,-11.7112,-0.6851,1
train-s10106,इसके अलावा पुलिस ने विजय चौक और इंडिया गेट के बीच राजपथ पर विभिन्न स्थानों पर सीसीटीवी लगाए हैं ।,SOV,20,99,-0.0131,0.5349,0.6441,38,दिल्ली पुलिस के विशेष आयुक्त बी. के. गुप्ता ने यहां पत्रकारों से कहा कि आतंकवादियों द्वारा लंबी दूरी के हथियारों को इस्तेमाल कर परेड में बाधा डालने की खुफिया रिपोर्ट और हाल ही में कोलकाता में बड़ी संख्या में टेलीस्कोप बरामद करने के बाद आतंकवादी प्रयासों को विफल करने के लिए सुरक्षा के विशेष उपाय किए गए हैं ।,-1.8788,0.9293,-3.4893,-3.2196,-3.9116,-3.0471,-5.7385,1
train-s10107,"इस सिलसिले में सीबीआई ने ३० सरकारी अधिकारियों समेत ५० लोगों के खिलाफ आईपीसी, पासपोर्ट अधिनियम व भ्रष्टाचार निरोधक कानून की विभिन्न धाराओं के तहत ३८ मामले दर्ज किए ।",SOV,31,99,-0.1395,0.5565,0.5,10,इसके अलावा पुलिस ने विजय चौक और इंडिया गेट के बीच राजपथ पर विभिन्न स्थानों पर सीसीटीवी लगाए हैं ।,2.6465,0.0,-29.9634,-18.9405,-20.719,-30.7508,-5.2145,1
train-s10111,उसने अभी तक २८.७२ लाख रुपये जब्त किए हैं और ७.४३ करोड़ रुपये की चल - अचल संपति का पता चला है ।,SOV,23,23,-0.0093,0.5453,0.4516,14,"इस सिलसिले में सीबीआई ने ३० सरकारी अधिकारियों समेत ५० लोगों के खिलाफ आईपीसी, पासपोर्ट अधिनियम व भ्रष्टाचार निरोधक कानून की विभिन्न धाराओं के तहत ३८ मामले दर्ज किए ।",0.5217,0.0,-18.1349,-12.2911,-11.7138,-15.1361,-4.9058,1
train-s10113,"सीबीआई को ६० पासपोर्ट, फर्जी बैंक प्रवृष्टियां व विदेशी मुद्राएं भी मिली हैं ।",IOSV,15,1,-0.1014,0.4531,0.5652,13,उसने अभी तक २८.७२ लाख रुपये जब्त किए हैं और ७.४३ करोड़ रुपये की चल - अचल संपति का पता चला है ।,8.0,0.0,-6.9918,-2.2585,-4.1809,-6.8109,-2.0356,1
train-s10121,सीबीआई ने लखनऊ में स्वास्थ्य एवं परिवार कल्याण मंत्रालय के क्षेत्रीय निदेशक जयकरण के खिलाफ दो मामले दर्ज किए और उनके कार्यालय व आवास पर छापा मारा है ।,SOV,29,99,0.0347,0.5226,0.3333,5,"सीबीआई को ६० पासपोर्ट, फर्जी बैंक प्रवृष्टियां व विदेशी मुद्राएं भी मिली हैं ।",-2.2121,0.0,-22.1774,-12.8845,-15.4256,-19.3709,-6.755,1
train-s10126,उन्होंने इस मामले में कंपनी के लोगों से एक करोड़ रुपये की रिश्वत मांगी थी ।,SOV,16,23,0.0885,0.4595,0.5517,16,सीबीआई ने लखनऊ में स्वास्थ्य एवं परिवार कल्याण मंत्रालय के क्षेत्रीय निदेशक जयकरण के खिलाफ दो मामले दर्ज किए और उनके कार्यालय व आवास पर छापा मारा है ।,6.7826,1.0435,-11.4352,-10.2985,-9.6555,-11.3922,-4.4987,1
train-s10127,सीबीआई ने इंडियन कस्टम एंड सेंट्रल एक्साइज सर्विस के १९९३ बैच के अधिकारी हेमंत कोटिकर के खिलाफ आय से अधिक संपति का मामला दर्ज किया है ।,SOV,27,23,0.066,0.5253,0.625,10,उन्होंने इस मामले में कंपनी के लोगों से एक करोड़ रुपये की रिश्वत मांगी थी ।,-6.2609,0.0,-24.7799,-13.5092,-13.2718,-24.759,-7.0537,1
train-s10133,इस कार्रवाई का खाका सीबीआई ने करीब चार माह पहले ही तैयार कर लिया था ।,DOSV,16,23,0.0208,0.481,0.5185,14,सीबीआई ने इंडियन कस्टम एंड सेंट्रल एक्साइज सर्विस के १९९३ बैच के अधिकारी हेमंत कोटिकर के खिलाफ आय से अधिक संपति का मामला दर्ज किया है ।,-3.1304,0.0,-7.1293,-6.5247,-8.2311,-8.8068,-1.9203,1
train-s10141,"जिसके कारण लगभग एक सप्ताह पूर्व लोहान गोत्र के लोगों ने इस रिश्ते पर आपत्ति जताई थी, लेकिन बाद में गाँव के इसी गोत्र के लोगों ने इस आपत्ति के बारे में माफी भी माँग ली थी ।",SOV,39,99,-0.0857,0.5096,0.6875,11,इस कार्रवाई का खाका सीबीआई ने करीब चार माह पहले ही तैयार कर लिया था ।,-3.0808,1.0101,-23.4333,-22.8933,-24.9354,-23.188,-6.4049,1
train-s10147,जबकि एक बार आपत्ति जताने के बाद गाँव में रह रहे लोहान गोत्र के लोगों ने माफी भी माँग ली थी ।,SOV,22,23,-0.0266,0.4816,0.6667,26,"जिसके कारण लगभग एक सप्ताह पूर्व लोहान गोत्र के लोगों ने इस रिश्ते पर आपत्ति जताई थी, लेकिन बाद में गाँव के इसी गोत्र के लोगों ने इस आपत्ति के बारे में माफी भी माँग ली थी ।",3.1304,0.0,-4.5911,-2.5871,-3.0421,-3.1564,-5.2746,1
train-s10151,इस पंचायत के बाद ही लोहान गोत्र से संबंधित लोग कुछ कदम उठाएंगे ।,SOV,14,5,-0.021,0.4808,0.6364,14,जबकि एक बार आपत्ति जताने के बाद गाँव में रह रहे लोहान गोत्र के लोगों ने माफी भी माँग ली थी ।,-3.6,0.0,-10.9713,-4.515,-5.0033,-11.2565,-0.6635,1
train-s10160,बसपा के सभी विधायकों ने दबाव बनाने के लिए पार्टी प्रमुख मायावती को इस्तीफे सौंप दिए ।,SOV,17,23,-0.0116,0.5058,0.7143,10,इस पंचायत के बाद ही लोहान गोत्र से संबंधित लोग कुछ कदम उठाएंगे ।,-6.2609,0.0,-7.571,-0.2581,-2.4612,-7.562,-3.2631,1
train-s10162,रालोद ने भी मुलायम सरकार के खिलाफ रविवार को तेवर कडे कर लिए ।,SOV,14,99,-0.0056,0.5455,0.4118,7,बसपा के सभी विधायकों ने दबाव बनाने के लिए पार्टी प्रमुख मायावती को इस्तीफे सौंप दिए ।,-7.3636,0.0,-10.5442,-6.6818,-6.3955,-10.3841,-0.1125,1
train-s10167,जनता के बीच संदेश जाएगा कि मुलायम सिंह असंवैधानिक तरीके से सरकार चला रहे हैं ।,SOV,16,1,-0.0693,0.4587,0.5714,8,रालोद ने भी मुलायम सरकार के खिलाफ रविवार को तेवर कडे कर लिए ।,-2.0,0.0,-12.1794,-6.5994,-2.8923,-12.1778,-4.2716,1
train-s10178,इसी क्षेत्र में सुरक्षा बलों ने दो आतंकियों को मार गिराया ।,SOV,12,5,0.0051,0.4976,0.75,12,जनता के बीच संदेश जाएगा कि मुलायम सिंह असंवैधानिक तरीके से सरकार चला रहे हैं ।,0.0,0.0,-10.8053,-6.8046,-3.7165,-10.8053,-1.6134,1
train-s10184,"भाकपा, माकपा और फॉरवर्ड ब्लॉक के नेताओं ने आज कहा कि आम आदमी की कीमत पर उच्च वर्ग के लोगों को फायदा पहुंचाया जा रहा है और सरकार आर्थिक निजीकरण का अपना एजेंडा पूरा करने में जुटी हुई है ।",SOV,41,1,-0.0271,0.4798,0.6667,8,इसी क्षेत्र में सुरक्षा बलों ने दो आतंकियों को मार गिराया ।,-8.0,0.0,-4.7588,-1.3446,-3.7243,-4.7588,2.2217,1
train-s10203,पिछले कुछ दिनों में दो अमेरिकियों को लड़ाकों ने बंधक बना लिया था ।,DOSV,14,23,0.0498,0.5073,0.5854,24,"भाकपा, माकपा और फॉरवर्ड ब्लॉक के नेताओं ने आज कहा कि आम आदमी की कीमत पर उच्च वर्ग के लोगों को फायदा पहुंचाया जा रहा है और सरकार आर्थिक निजीकरण का अपना एजेंडा पूरा करने में जुटी हुई है ।",-5.2174,0.0,-18.8621,-3.0363,-4.8268,-18.8621,-2.1981,1
train-s10205,फ्रांस ने भी अपने दो पत्रकारों और उनके सीरियन ड्राइवर की रिहाई के लिए लड़ाकों से बातचीत की है ।,SOV,20,23,-0.1811,0.5538,0.5,7,पिछले कुछ दिनों में दो अमेरिकियों को लड़ाकों ने बंधक बना लिया था ।,-7.8261,0.0,-12.8338,-15.7916,-13.821,-12.3868,-3.6574,1
train-s10230,हम रचनात्मक विपक्ष की भूमिका निभाना चाहते हैं ।,SOV,9,5,-0.0243,0.5168,0.65,13,फ्रांस ने भी अपने दो पत्रकारों और उनके सीरियन ड्राइवर की रिहाई के लिए लड़ाकों से बातचीत की है ।,0.0,1.2,-19.8278,-14.5372,-12.9363,-19.8278,-2.7762,1
train-s10234,अच्छे नतीजों के लिए हम सरकार को और दो महीने का समय देंगे ।,SOV,14,23,0.3505,0.4691,0.4444,4,हम रचनात्मक विपक्ष की भूमिका निभाना चाहते हैं ।,2.087,-1.0435,-1.0461,-3.4684,-1.9207,0.0461,-3.4445,1
train-s10235,नितीश कुमार और उनके मंत्रिमंडल के सदस्यों पर प्रहार करते हुए उन्होंने कहा कि वे सिर्फ बड़े वादे कर रहे हैं और राज्य में विकास योजनाओं का शिलान्यास कर रहे हैं ।,SOV,32,1,-0.0235,0.4713,0.5714,8,अच्छे नतीजों के लिए हम सरकार को और दो महीने का समय देंगे ।,-10.0,-2.0,-7.4902,-3.6223,-1.631,-7.4902,1.3656,1
