dep_len_temperley,info_status_score,sentence_length,sent_id,variant_order,is_reference,deprel_sequence,type
41,0,23,train-s652,"[3, 19, 14, 20]",False,nsubj obj advcl compound,variant
41,0,23,train-s652,"[19, 3, 14, 20]",False,obj nsubj advcl compound,variant
41,0,23,train-s652,"[19, 20, 14, 3]",False,obj compound advcl nsubj,variant
41,0,23,train-s652,"[20, 14, 3, 19]",False,compound advcl nsubj obj,variant
41,0,23,train-s652,"[20, 14, 19, 3]",False,compound advcl obj nsubj,variant
41,0,23,train-s652,"[20, 19, 14, 3]",False,compound obj advcl nsubj,variant
19,0,14,train-s679,"[2, 6, 9, 12]",True,nsubj advcl iobj compound,reference
19,0,14,train-s679,"[2, 9, 6, 12]",False,nsubj iobj advcl compound,variant
19,0,14,train-s679,"[9, 2, 6, 12]",False,iobj nsubj advcl compound,variant
19,0,14,train-s679,"[12, 6, 2, 9]",False,compound advcl nsubj iobj,variant
19,0,14,train-s679,"[12, 6, 9, 2]",False,compound advcl iobj nsubj,variant
19,0,14,train-s679,"[12, 9, 6, 2]",False,compound iobj advcl nsubj,variant
47,0,21,train-s694,"[1, 3, 5, 7]",True,nsubj obl obl obl,reference
47,0,21,train-s694,"[1, 3, 7, 5]",False,nsubj obl obl obl,variant
47,0,21,train-s694,"[1, 5, 3, 7]",False,nsubj obl obl obl,variant
47,0,21,train-s694,"[1, 5, 7, 3]",False,nsubj obl obl obl,variant
47,0,21,train-s694,"[1, 7, 3, 5]",False,nsubj obl obl obl,variant
47,0,21,train-s694,"[1, 7, 5, 3]",False,nsubj obl obl obl,variant
47,0,21,train-s694,"[3, 5, 7, 1]",False,obl obl obl nsubj,variant
47,0,21,train-s694,"[3, 7, 5, 1]",False,obl obl obl nsubj,variant
47,0,21,train-s694,"[5, 3, 7, 1]",False,obl obl obl nsubj,variant
47,0,21,train-s694,"[5, 7, 3, 1]",False,obl obl obl nsubj,variant
47,0,21,train-s694,"[7, 3, 5, 1]",False,obl obl obl nsubj,variant
47,0,21,train-s694,"[7, 5, 3, 1]",False,obl obl obl nsubj,variant
38,0,18,train-s713,"[2, 10, 14, 16]",True,nsubj advcl obj compound,reference
38,0,18,train-s713,"[2, 10, 16, 14]",False,nsubj advcl compound obj,variant
38,0,18,train-s713,"[2, 14, 10, 16]",False,nsubj obj advcl compound,variant
38,0,18,train-s713,"[14, 2, 10, 16]",False,obj nsubj advcl compound,variant
38,0,18,train-s713,"[14, 16, 10, 2]",False,obj compound advcl nsubj,variant
38,0,18,train-s713,"[16, 10, 2, 14]",False,compound advcl nsubj obj,variant
38,0,18,train-s713,"[16, 10, 14, 2]",False,compound advcl obj nsubj,variant
38,0,18,train-s713,"[16, 14, 10, 2]",False,compound obj advcl nsubj,variant
9,0,7,train-s775,"[1, 2, 3, 5]",True,nsubj obl obj advmod,reference
9,0,7,train-s775,"[1, 2, 5, 3]",False,nsubj obl advmod obj,variant
9,0,7,train-s775,"[1, 3, 2, 5]",False,nsubj obj obl advmod,variant
9,0,7,train-s775,"[1, 5, 2, 3]",False,nsubj advmod obl obj,variant
9,0,7,train-s775,"[1, 5, 3, 2]",False,nsubj advmod obj obl,variant
9,0,7,train-s775,"[2, 3, 5, 1]",False,obl obj advmod nsubj,variant
9,0,7,train-s775,"[3, 2, 5, 1]",False,obj obl advmod nsubj,variant
9,0,7,train-s775,"[3, 5, 2, 1]",False,obj advmod obl nsubj,variant
9,0,7,train-s775,"[5, 2, 3, 1]",False,advmod obl obj nsubj,variant
9,0,7,train-s775,"[5, 3, 2, 1]",False,advmod obj obl nsubj,variant
9,-1,10,train-s788,"[3, 4, 6, 7]",True,nsubj obl obj compound,reference
9,-1,10,train-s788,"[3, 6, 4, 7]",False,nsubj obj obl compound,variant
9,-1,10,train-s788,"[3, 6, 7, 4]",False,nsubj obj compound obl,variant
9,-1,10,train-s788,"[4, 7, 6, 3]",False,obl compound obj nsubj,variant
9,-1,10,train-s788,"[6, 3, 4, 7]",False,obj nsubj obl compound,variant
9,-1,10,train-s788,"[6, 4, 3, 7]",False,obj obl nsubj compound,variant
9,-1,10,train-s788,"[7, 3, 4, 6]",False,compound nsubj obl obj,variant
9,-1,10,train-s788,"[7, 4, 3, 6]",False,compound obl nsubj obj,variant
9,-1,10,train-s788,"[7, 4, 6, 3]",False,compound obl obj nsubj,variant
9,-1,10,train-s788,"[7, 6, 4, 3]",False,compound obj obl nsubj,variant
16,1,11,train-s789,"[1, 2, 6, 8]",True,obj nsubj obl xcomp,reference
16,1,11,train-s789,"[2, 1, 6, 8]",False,nsubj obj obl xcomp,variant
16,1,11,train-s789,"[2, 1, 8, 6]",False,nsubj obj xcomp obl,variant
16,1,11,train-s789,"[2, 6, 1, 8]",False,nsubj obl obj xcomp,variant
16,1,11,train-s789,"[2, 8, 1, 6]",False,nsubj xcomp obj obl,variant
16,1,11,train-s789,"[6, 1, 8, 2]",False,obl obj xcomp nsubj,variant
16,1,11,train-s789,"[6, 8, 1, 2]",False,obl xcomp obj nsubj,variant
16,1,11,train-s789,"[8, 1, 6, 2]",False,xcomp obj obl nsubj,variant
16,1,11,train-s789,"[8, 6, 1, 2]",False,xcomp obl obj nsubj,variant
16,1,11,train-s789,"[8, 6, 2, 1]",False,xcomp obl nsubj obj,variant
41,-1,17,train-s827,"[1, 2, 4, 10]",True,nsubj obj obl obl,reference
41,-1,17,train-s827,"[1, 2, 10, 4]",False,nsubj obj obl obl,variant
41,-1,17,train-s827,"[1, 4, 2, 10]",False,nsubj obl obj obl,variant
41,-1,17,train-s827,"[1, 4, 10, 2]",False,nsubj obl obl obj,variant
41,-1,17,train-s827,"[1, 10, 2, 4]",False,nsubj obl obj obl,variant
41,-1,17,train-s827,"[1, 10, 4, 2]",False,nsubj obl obl obj,variant
41,-1,17,train-s827,"[2, 1, 4, 10]",False,obj nsubj obl obl,variant
41,-1,17,train-s827,"[2, 1, 10, 4]",False,obj nsubj obl obl,variant
41,-1,17,train-s827,"[2, 4, 1, 10]",False,obj obl nsubj obl,variant
41,-1,17,train-s827,"[2, 4, 10, 1]",False,obj obl obl nsubj,variant
41,-1,17,train-s827,"[2, 10, 1, 4]",False,obj obl nsubj obl,variant
41,-1,17,train-s827,"[2, 10, 4, 1]",False,obj obl obl nsubj,variant
41,-1,17,train-s827,"[4, 1, 10, 2]",False,obl nsubj obl obj,variant
41,-1,17,train-s827,"[4, 2, 10, 1]",False,obl obj obl nsubj,variant
41,-1,17,train-s827,"[4, 10, 1, 2]",False,obl obl nsubj obj,variant
41,-1,17,train-s827,"[4, 10, 2, 1]",False,obl obl obj nsubj,variant
41,-1,17,train-s827,"[10, 1, 4, 2]",False,obl nsubj obl obj,variant
41,-1,17,train-s827,"[10, 2, 4, 1]",False,obl obj obl nsubj,variant
41,-1,17,train-s827,"[10, 4, 1, 2]",False,obl obl nsubj obj,variant
41,-1,17,train-s827,"[10, 4, 2, 1]",False,obl obl obj nsubj,variant
40,0,24,train-s841,"[3, 5, 10, 13]",True,nsubj obl obj obl,reference
40,0,24,train-s841,"[3, 5, 13, 10]",False,nsubj obl obl obj,variant
40,0,24,train-s841,"[3, 10, 5, 13]",False,nsubj obj obl obl,variant
40,0,24,train-s841,"[3, 10, 13, 5]",False,nsubj obj obl obl,variant
40,0,24,train-s841,"[3, 13, 5, 10]",False,nsubj obl obl obj,variant
40,0,24,train-s841,"[3, 13, 10, 5]",False,nsubj obl obj obl,variant
40,0,24,train-s841,"[5, 3, 13, 10]",False,obl nsubj obl obj,variant
40,0,24,train-s841,"[5, 10, 13, 3]",False,obl obj obl nsubj,variant
40,0,24,train-s841,"[5, 13, 3, 10]",False,obl obl nsubj obj,variant
40,0,24,train-s841,"[5, 13, 10, 3]",False,obl obl obj nsubj,variant
40,0,24,train-s841,"[10, 3, 5, 13]",False,obj nsubj obl obl,variant
40,0,24,train-s841,"[10, 3, 13, 5]",False,obj nsubj obl obl,variant
40,0,24,train-s841,"[10, 5, 3, 13]",False,obj obl nsubj obl,variant
40,0,24,train-s841,"[10, 5, 13, 3]",False,obj obl obl nsubj,variant
40,0,24,train-s841,"[10, 13, 3, 5]",False,obj obl nsubj obl,variant
40,0,24,train-s841,"[10, 13, 5, 3]",False,obj obl obl nsubj,variant
40,0,24,train-s841,"[13, 3, 5, 10]",False,obl nsubj obl obj,variant
40,0,24,train-s841,"[13, 5, 3, 10]",False,obl obl nsubj obj,variant
40,0,24,train-s841,"[13, 5, 10, 3]",False,obl obl obj nsubj,variant
40,0,24,train-s841,"[13, 10, 5, 3]",False,obl obj obl nsubj,variant
33,0,23,train-s864,"[1, 4, 7, 8]",True,nsubj obj obl compound,reference
33,0,23,train-s864,"[1, 4, 8, 7]",False,nsubj obj compound obl,variant
33,0,23,train-s864,"[1, 7, 4, 8]",False,nsubj obl obj compound,variant
33,0,23,train-s864,"[4, 1, 7, 8]",False,obj nsubj obl compound,variant
33,0,23,train-s864,"[4, 7, 1, 8]",False,obj obl nsubj compound,variant
33,0,23,train-s864,"[7, 8, 4, 1]",False,obl compound obj nsubj,variant
33,0,23,train-s864,"[8, 1, 7, 4]",False,compound nsubj obl obj,variant
33,0,23,train-s864,"[8, 4, 7, 1]",False,compound obj obl nsubj,variant
33,0,23,train-s864,"[8, 7, 1, 4]",False,compound obl nsubj obj,variant
33,0,23,train-s864,"[8, 7, 4, 1]",False,compound obl obj nsubj,variant
55,0,25,train-s892,"[7, 9, 13, 21]",True,obj obl nsubj obl,reference
55,0,25,train-s892,"[7, 9, 21, 13]",False,obj obl obl nsubj,variant
55,0,25,train-s892,"[7, 13, 9, 21]",False,obj nsubj obl obl,variant
55,0,25,train-s892,"[7, 13, 21, 9]",False,obj nsubj obl obl,variant
55,0,25,train-s892,"[7, 21, 9, 13]",False,obj obl obl nsubj,variant
55,0,25,train-s892,"[7, 21, 13, 9]",False,obj obl nsubj obl,variant
55,0,25,train-s892,"[9, 7, 21, 13]",False,obl obj obl nsubj,variant
55,0,25,train-s892,"[9, 13, 21, 7]",False,obl nsubj obl obj,variant
55,0,25,train-s892,"[9, 21, 7, 13]",False,obl obl obj nsubj,variant
55,0,25,train-s892,"[9, 21, 13, 7]",False,obl obl nsubj obj,variant
55,0,25,train-s892,"[13, 7, 9, 21]",False,nsubj obj obl obl,variant
55,0,25,train-s892,"[13, 7, 21, 9]",False,nsubj obj obl obl,variant
55,0,25,train-s892,"[13, 9, 7, 21]",False,nsubj obl obj obl,variant
55,0,25,train-s892,"[13, 9, 21, 7]",False,nsubj obl obl obj,variant
55,0,25,train-s892,"[13, 21, 7, 9]",False,nsubj obl obj obl,variant
55,0,25,train-s892,"[13, 21, 9, 7]",False,nsubj obl obl obj,variant
55,0,25,train-s892,"[21, 7, 9, 13]",False,obl obj obl nsubj,variant
55,0,25,train-s892,"[21, 9, 7, 13]",False,obl obl obj nsubj,variant
55,0,25,train-s892,"[21, 9, 13, 7]",False,obl obl nsubj obj,variant
55,0,25,train-s892,"[21, 13, 9, 7]",False,obl nsubj obl obj,variant
32,0,22,train-s901,"[8, 10, 16, 18]",True,nsubj:pass obl advcl compound,reference
32,0,22,train-s901,"[8, 16, 10, 18]",False,nsubj:pass advcl obl compound,variant
32,0,22,train-s901,"[18, 10, 16, 8]",False,compound obl advcl nsubj:pass,variant
32,0,22,train-s901,"[18, 16, 10, 8]",False,compound advcl obl nsubj:pass,variant
31,1,17,train-s946,"[1, 2, 4, 5]",True,nsubj obj acl compound,reference
31,1,17,train-s946,"[2, 1, 4, 5]",False,obj nsubj acl compound,variant
31,1,17,train-s946,"[5, 4, 1, 2]",False,compound acl nsubj obj,variant
31,1,17,train-s946,"[5, 4, 2, 1]",False,compound acl obj nsubj,variant
37,0,23,train-s949,"[6, 13, 16, 18]",True,nsubj obl advmod obl,reference
37,0,23,train-s949,"[6, 13, 18, 16]",False,nsubj obl obl advmod,variant
37,0,23,train-s949,"[6, 18, 13, 16]",False,nsubj obl obl advmod,variant
37,0,23,train-s949,"[6, 18, 16, 13]",False,nsubj obl advmod obl,variant
37,0,23,train-s949,"[13, 16, 18, 6]",False,obl advmod obl nsubj,variant
37,0,23,train-s949,"[16, 13, 18, 6]",False,advmod obl obl nsubj,variant
37,0,23,train-s949,"[16, 18, 13, 6]",False,advmod obl obl nsubj,variant
37,0,23,train-s949,"[18, 16, 13, 6]",False,obl advmod obl nsubj,variant
55,0,31,train-s957,"[11, 16, 25, 28]",True,nsubj iobj advcl obj,reference
55,0,31,train-s957,"[11, 25, 16, 28]",False,nsubj advcl iobj obj,variant
55,0,31,train-s957,"[11, 25, 28, 16]",False,nsubj advcl obj iobj,variant
55,0,31,train-s957,"[11, 28, 25, 16]",False,nsubj obj advcl iobj,variant
55,0,31,train-s957,"[16, 25, 11, 28]",False,iobj advcl nsubj obj,variant
55,0,31,train-s957,"[16, 25, 28, 11]",False,iobj advcl obj nsubj,variant
55,0,31,train-s957,"[16, 28, 25, 11]",False,iobj obj advcl nsubj,variant
55,0,31,train-s957,"[25, 16, 11, 28]",False,advcl iobj nsubj obj,variant
55,0,31,train-s957,"[28, 11, 16, 25]",False,obj nsubj iobj advcl,variant
55,0,31,train-s957,"[28, 11, 25, 16]",False,obj nsubj advcl iobj,variant
55,0,31,train-s957,"[28, 16, 25, 11]",False,obj iobj advcl nsubj,variant
55,0,31,train-s957,"[28, 25, 16, 11]",False,obj advcl iobj nsubj,variant
27,0,16,train-s1092,"[1, 6, 12, 13]",True,nsubj advcl obj iobj,reference
27,0,16,train-s1092,"[1, 6, 13, 12]",False,nsubj advcl iobj obj,variant
27,0,16,train-s1092,"[1, 12, 6, 13]",False,nsubj obj advcl iobj,variant
27,0,16,train-s1092,"[1, 13, 6, 12]",False,nsubj iobj advcl obj,variant
27,0,16,train-s1092,"[6, 13, 1, 12]",False,advcl iobj nsubj obj,variant
27,0,16,train-s1092,"[12, 1, 6, 13]",False,obj nsubj advcl iobj,variant
27,0,16,train-s1092,"[12, 1, 13, 6]",False,obj nsubj iobj advcl,variant
27,0,16,train-s1092,"[12, 6, 13, 1]",False,obj advcl iobj nsubj,variant
27,0,16,train-s1092,"[12, 13, 6, 1]",False,obj iobj advcl nsubj,variant
27,0,16,train-s1092,"[13, 6, 1, 12]",False,iobj advcl nsubj obj,variant
27,0,16,train-s1092,"[13, 6, 12, 1]",False,iobj advcl obj nsubj,variant
27,0,16,train-s1092,"[13, 12, 6, 1]",False,iobj obj advcl nsubj,variant
18,0,14,train-s1096,"[2, 4, 8, 10]",True,nsubj obl obj compound,reference
18,0,14,train-s1096,"[2, 8, 4, 10]",False,nsubj obj obl compound,variant
18,0,14,train-s1096,"[2, 8, 10, 4]",False,nsubj obj compound obl,variant
18,0,14,train-s1096,"[4, 10, 8, 2]",False,obl compound obj nsubj,variant
18,0,14,train-s1096,"[8, 2, 4, 10]",False,obj nsubj obl compound,variant
18,0,14,train-s1096,"[8, 4, 2, 10]",False,obj obl nsubj compound,variant
18,0,14,train-s1096,"[10, 2, 4, 8]",False,compound nsubj obl obj,variant
18,0,14,train-s1096,"[10, 4, 2, 8]",False,compound obl nsubj obj,variant
18,0,14,train-s1096,"[10, 4, 8, 2]",False,compound obl obj nsubj,variant
18,0,14,train-s1096,"[10, 8, 4, 2]",False,compound obj obl nsubj,variant
53,0,23,train-s1097,"[2, 4, 13, 20]",True,obj obl nsubj iobj,reference
53,0,23,train-s1097,"[2, 4, 20, 13]",False,obj obl iobj nsubj,variant
53,0,23,train-s1097,"[2, 13, 4, 20]",False,obj nsubj obl iobj,variant
53,0,23,train-s1097,"[2, 20, 4, 13]",False,obj iobj obl nsubj,variant
53,0,23,train-s1097,"[2, 20, 13, 4]",False,obj iobj nsubj obl,variant
53,0,23,train-s1097,"[4, 2, 13, 20]",False,obl obj nsubj iobj,variant
53,0,23,train-s1097,"[4, 2, 20, 13]",False,obl obj iobj nsubj,variant
53,0,23,train-s1097,"[4, 13, 20, 2]",False,obl nsubj iobj obj,variant
53,0,23,train-s1097,"[13, 4, 2, 20]",False,nsubj obl obj iobj,variant
53,0,23,train-s1097,"[13, 4, 20, 2]",False,nsubj obl iobj obj,variant
53,0,23,train-s1097,"[13, 20, 2, 4]",False,nsubj iobj obj obl,variant
53,0,23,train-s1097,"[13, 20, 4, 2]",False,nsubj iobj obl obj,variant
53,0,23,train-s1097,"[20, 2, 4, 13]",False,iobj obj obl nsubj,variant
53,0,23,train-s1097,"[20, 4, 13, 2]",False,iobj obl nsubj obj,variant
53,0,23,train-s1097,"[20, 13, 2, 4]",False,iobj nsubj obj obl,variant
53,0,23,train-s1097,"[20, 13, 4, 2]",False,iobj nsubj obl obj,variant
15,0,16,train-s1135,"[6, 9, 11, 12]",True,nsubj obj compound advmod,reference
15,0,16,train-s1135,"[6, 9, 12, 11]",False,nsubj obj advmod compound,variant
15,0,16,train-s1135,"[6, 12, 9, 11]",False,nsubj advmod obj compound,variant
15,0,16,train-s1135,"[9, 6, 11, 12]",False,obj nsubj compound advmod,variant
15,0,16,train-s1135,"[11, 9, 12, 6]",False,compound obj advmod nsubj,variant
15,0,16,train-s1135,"[11, 12, 9, 6]",False,compound advmod obj nsubj,variant
15,0,16,train-s1135,"[12, 11, 6, 9]",False,advmod compound nsubj obj,variant
15,0,16,train-s1135,"[12, 11, 9, 6]",False,advmod compound obj nsubj,variant
80,0,27,train-s1171,"[2, 5, 7, 25]",True,nsubj obl obl compound,reference
80,0,27,train-s1171,"[2, 5, 25, 7]",False,nsubj obl compound obl,variant
80,0,27,train-s1171,"[2, 7, 5, 25]",False,nsubj obl obl compound,variant
80,0,27,train-s1171,"[2, 7, 25, 5]",False,nsubj obl compound obl,variant
80,0,27,train-s1171,"[2, 25, 5, 7]",False,nsubj compound obl obl,variant
80,0,27,train-s1171,"[2, 25, 7, 5]",False,nsubj compound obl obl,variant
80,0,27,train-s1171,"[5, 7, 25, 2]",False,obl obl compound nsubj,variant
80,0,27,train-s1171,"[5, 25, 7, 2]",False,obl compound obl nsubj,variant
80,0,27,train-s1171,"[7, 5, 25, 2]",False,obl obl compound nsubj,variant
80,0,27,train-s1171,"[7, 25, 5, 2]",False,obl compound obl nsubj,variant
80,0,27,train-s1171,"[25, 5, 7, 2]",False,compound obl obl nsubj,variant
80,0,27,train-s1171,"[25, 7, 5, 2]",False,compound obl obl nsubj,variant
78,0,29,train-s1200,"[4, 6, 9, 10]",True,nsubj obl obj compound,reference
