dep_len_temperley,info_status_score,sentence_length,sent_id,text,type
103,0,51,train-s1306,"सोनिया के साहसी फैसले पर उनकी सराहना करते हुए वैद्य ने भाजपा का बगैर नाम लिए यह भी सवाल किया कि जो उनके इस्तीफे को नाटक करार दे रहे हैं, उन्हें अपने उन सांसदों से भी इस्तीफा मांगना चाहिए, जिन पर इसी तरह के आरोप लग रहे हैं ।",reference
68,0,30,train-s1320,पाकिस्तान इसे प्रचारित करने में कोई कसर नहीं छोड़ रहा है कि ऐसा ही होगा जबकि भारतीय विदेश मंत्रालय के उच्च पदस्थ सूत्रों के अनुसार अभी दिल्ली दूर है ।,reference
16,0,12,train-s1388,विशेषज्ञों ने भी विपिन के इस प्रयोग पर आश्चर्य व्यक्त किया ।,reference
17,0,11,train-s1460,जवानों ने गुस्से में वकीलों के वाहनों को शिकार बनाया ।,reference
33,0,18,train-s1486,अतिक्रमण विरोधी अभियान दरगाह कमेटी ने उर्स के मौके पर दरगाह की सुरक्षा के लिए छेड़ा था ।,reference
33,0,18,train-s1497,स्थानीय पुलिस ने घटना के पीछे दीमा हाओलाम डाओगा संगठन के हाथ होने की आशंका जाहिर की ।,reference
18,0,14,train-s1523,चैपल ने कोलकता के लोगों के व्यवहार पर भी दुख प्रकट किया है ।,reference
49,0,21,train-s1577,प्रधानमंत्री ने इस मौके पर वर्षा सिंचित क्षेत्रों के लिए 'रेनफीड एरिया अथॅरिटी' गठित करने का ऐलान किया ।,reference
38,0,24,train-s1604,वायुसेना के एक हेलीकॅप्टर ने किन्नौर जिले के पूह और रेकांग पियो इलाकों से छह विदेशियों समेत १४ पर्यटकों को निकाल लिया है ।,reference
64,0,33,train-s1693,सहवाग के बाद आए कप्तान राहुल द्रविड़ ने पारी संभालने की भरसक कोशिश की लेकिन उनका साथ निभाने आए युवराज सिंह एक रन बनाने के बाद ही उनका साथ छोड़कर चलते बने ।,reference
16,0,12,train-s1709,पीटरसन को ४६ रन के स्कोर पर युवराज ने आउट किया ।,reference
83,1,29,train-s1736,उन्होंने बंदूक की नोंक पर इन सभी को अपने कब्जे में कर लिया और फिर उन्हें पास के एक खेत में ले जाकर अपनी हवस का शिकार बनाया ।,reference
86,0,44,train-s1740,"वर्ष १९९६ में एक नौसिखिए की हैसियत से राजनीति शुरू करने वाले एच. डी. कुमारस्वामी वर्ष २००६ के पहले महीने में एक ऐसे मंजे हुए नेता के रूप में सामने आए, जिसने कई राजनीतिक अखाड़े के कई कद्दारों को चित कर दिया ।",reference
27,0,18,train-s1762,कुछ मंत्रालयों ने लैंगिक परिप्रेक्ष्य में जनता के व्यय का ब्योरा रखने की कवायद शुरू की है ।,reference
36,-1,26,train-s1767,ऐसे में अपनी किताब कॉल टू ऑनर के जरिए सच्चाई को उजागर करने की जसवंत सिंह की कोशिश खुद उन्हें मुसीबत में फंसा सकती है ।,reference
66,0,31,train-s1776,राज्य कांग्रेस अध्यक्ष पीरजादा मोहम्मद सईद ने शुक्रवार को मौलाना आजाद रोड पर स्थित राज्य कांग्रेस के मुख्यालय में संवाददाताओं को बताया कि ३० अक्तूबर को सीएलपी की बैठक होगी ।,reference
24,0,16,train-s1779,मुफ्ती ने राज्यपाल एस. के. सिन्हा से मिलने के लिए शनिवार को समय मांगा है ।,reference
23,0,14,train-s1782,आजाद ने कार्यक्रम में पार्टी अध्यक्ष सोनिया गांधी को भी न्योता दिया है ।,reference
33,0,19,train-s1800,९० साल का रामचंद्र महीनों से मुहाली के फेज़ पांच के बस स्टैंड पर रहने को मजबूर है ।,reference
16,1,12,train-s1813,उन्होंने इस संबंध में विस्तृत ब्योरा देने से इंकार कर दिया ।,reference
36,0,21,train-s1839,कृषि विज्ञान केंद्रों को अपने मल्टीमीडिया नेटवर्क को बेहतर बनाने के लिए भारतीय कृषि अनुसंधान परिषद एक लाख रुपये देगा ।,reference
31,0,18,train-s1886,याचिका १५ सितंबर को आरएसएस की तमिलनाडु इकाई के अध्यक्ष दुरई शंकर द्वारा दायर की गई थी.,reference
30,-1,23,train-s1913,केन्द्र सरकार ने सुनामी लहरों से हुए हादसे का असर पर्यटन उद्योग पर न पड़े इसके लिए कोशिश तेज कर दी है.,reference
45,0,23,train-s1919,रेणुका चौधरी ने तो इस जानकारी के आधार पर ब्रिटेन से आधिकारिक तौर पर शिकायत करने की भी घोषणा कर दी थी.,reference
16,0,15,train-s1924,कंट्रोल रूम को सूचना देने में भी मौसम विभाग ने कोई दिलचस्पी नहीं दिखाई.,reference
52,0,27,train-s2028,लाल दीन नामक एक व्यक्ति ने पाकिस्तानियों के इस इलाके में स्थायी निवासी के रूप में बसने के मामले से भारतीय विदेश मंत्रालय को अवगत कराया.,reference
35,0,27,train-s2032,फकर दीन नामक पाकिस्तानी नागरिक के पुत्र जुल्फ़िकार ने स्थायी निवासी होने का प्रमाण हासिल कर पुंछ के सल्वा गांव में जमीन - जायदाद खरीदी थी.,reference
22,0,14,train-s2039,पार्टी ने राज्य में नेतृत्व परिवर्तन की किसी संभावना से इनकार किया है.,reference
61,0,24,train-s2042,पार्टी अध्यक्ष ने विधानसभा सत्र चलने तक पार्टी के सभी विधायकों से एकजुट रहने और उसके बाद बातचीत करने का निर्देश दिया है.,reference
12,0,11,train-s2058,विरोधी खेमा दिल्ली तक लगातार अपना संदेश पहुंचा रहा है.,reference
27,-1,13,train-s2081,बैंक इसके लिए पांच सौ रुपया कमीशन के रूप में काट लेगा.,reference
21,-1,13,train-s2094,पीयू ने अब तक कई हस्तियों को मानद डिग्री से नवाजा है.,reference
26,0,16,train-s2119,केन्द्र सरकार नक्सल प्रभावित क्षेत्रों में रोजगार गारंटी कानून को लागू करने को प्राथमिकता देगी.,reference
94,-1,31,train-s2179,रोहित ने अब आयोग और पुलिस को इस बात का भरोसा दिलाया है कि उसके परिवार वाले चाहे या न चाहे वह अपनी पत्नी और अपनी बेटी को साथ रखेगा.,reference
51,1,20,train-s2212,उन्होंने इस बात पर खुशी जाहिर की कि अब सरकार की भी कृष्ण लीला के प्रति रुचि जगी है.,reference
68,0,27,train-s2258,गुजरात हाईकोर्ट ने बृहस्पतिवार को सीबीआई को पंचमहल जिले के लुनावाड़ा गांव में मिले सामूहिक कब्र के नरकंकालों के नमूने एकत्रित करने का आदेश दिया है.,reference
15,0,15,train-s2288,बिहार के तमाम अधिकारियों ने जल्द चुनाव कराने से हाथ खड़े कर लिए हैं ।,reference
62,0,37,train-s2289,हालात का जायजा लेने यहां पहुंचे चुनाव आयोग के दल से सभी जिलों के डीएम समेत राज्य प्रशासन ने साफ कह दिया है कि वे नवंबर से पहले विधानसभा चुनाव कराने की स्थिति में नहीं हैं ।,reference
39,0,23,train-s2309,"अमरमणि ने तो मीडिया से गुरेज नहीं किया, लेकिन उनकी पत्नी मधुमणि को मीडिया से छिपाने की भरपूर कोशिश की गई.",reference
86,0,31,train-s2312,अदालत ने अमरमणि की अर्जी स्वीकार करते हुए डीएम व एसएसपी को निर्देश दिए कि वे अमरमणि व मधुमणि को विशेष सुरक्षा में पेशी पर लाने की व्यवस्था सुनिश्चित करें.,reference
89,0,31,train-s2313,"अदालत ने अमरमणि व मधुमणि को हत्याकांड के अन्य अभियुक्तों रोहित चतुर्वेदी, प्रकाश चंद्र पांडे व संतोष राय के साथ ६ अक्तूबर को पेश होने के निर्देश दिए हैं.",reference
38,0,23,train-s2320,मानव संसाधन मंत्रालय का महिला एवं बाल विकास विभाग बच्चों के विकास के लिए समग्र योजना के तहत काम करना चाहता है.,reference
50,0,33,train-s2368,तमिलनाडु में जयललिता के साथ लोकसभा चुनाव लड़ने के जख्म सहला रही भाजपा ने रविवार को एक तरह से साफ कर दिया कि उनसे दोस्ती जारी रखने का जोखिम वह नहीं उठाएगी.,reference
47,0,30,train-s2369,भाजपा अध्यक्ष वेंकैया नायडू ने अन्नाद्रमुक से गठबंधन जारी रखने से एक तरह से इनकार करते हुए रविवार को यहां कहा कि यह सिर्फ लोकसभा चुनाव के लिए था.,reference
33,0,22,train-s2393,शाहजहां ने मकबरे को खुदा के नाम समर्पित कर दिया था न कि मौजूदा वक्फ बोर्ड के नाम वसीयत की थी.,reference
41,0,21,train-s2410,पाकिस्तान ने सरबजीत से मिलने की अनुमति भारत को तभी दी जब भारत ने लगातार दो बार यह अनुरोध किया.,reference
25,0,20,train-s2415,पांचवी सीट सर्बिया की एना इवानोविक ने बुधवार को यूएस ओपन के तीसरे दौर में जगह बना ली है.,reference
10,0,11,train-s2417,२५वीं सीट साफिन यह ग्रैंडस्लैम २००० में जीत चुके हैं.,reference
39,0,20,train-s2422,दोनों देश आतंकवाद से मिलकर लड़ने के साथ ही इसको पूरी तरह मिटाने के लिए मिलकर कठोर कदम उठाएंगे.,reference
16,0,12,train-s2428,दुग्गल ने सचिव स्तरीय वार्ता को बहुत ही उपयोगी करार दिया.,reference
16,0,12,train-s2443,मिस्टर एक्स घर पर दोस्तों के साथ ताश खेल रहे थे.,reference
36,0,23,train-s2449,"गिरफ्तार आरोपी अपनी पहचान छिपाने के लिए पुलिस से गुहार लगाता है, जो उसके लिए कमाई का जरिया बन जाता है.",reference
35,-1,16,train-s2461,विज्ञानियों ने इसे '1 ग्लोबल डिमिंग '2 यानि '1 वैश्विक धुंधलापन '2 नाम दिया है ।,reference
30,1,20,train-s2495,मैं भाजपा अध्यक्ष का पद बहुत विनम्रता से स्वीकार करता हूं और मुझे गर्व की अनुभूति हो रही है ।,reference
43,1,16,train-s2497,"मैं भाजपा को मजबूत, प्रभावशाली और एक चुनिंदा संगठन के रूप में तैयार करूंगा ।",reference
16,0,13,train-s2551,आयोग दो -JOIN तीन दिन के अंदर विज्ञप्ति जारी कर सकता है.,reference
12,0,10,train-s2623,कांग्रेस जानबूझकर मुस्लिम सांप्रदायिकता को बढ़ावा दे रही है.,reference
31,0,18,train-s2631,खुद कांग्रेस अध्यक्ष ने अधिवेशन में पोटा कैदियों को रिहा करना सरकार की बड़ी उपलब्धि बताया था.,reference
61,-1,22,train-s2654,प्रधानमंत्री ने यहां सुनामी प्रभावित लोगों को राज्य सरकार की ओर से घोषित एक लाख रुपये मुआवजे का वितरण भी किया.,reference
55,0,26,train-s2681,सरकार ने वाम दलों का सुझाव मानते हुए अमेरिकी राष्ट्रपति चुनाव के नतीजे आने तक पेट्रोल व डीजल की कीमतों में वृद्धि टाल दी है ।,reference
37,0,21,train-s2695,वामपंथी दल लगातार सीमा शुल्कों में कमी का सुझाव देते रहे हैं ताकि उपभोक्ता पर ज्यादा भार न डाला जाए ।,reference
14,0,11,train-s2709,मां ने इस सफल पुत्र को गले लगाकर आशीर्वाद दिया ।,reference
27,0,17,train-s2711,उनकी दो पुत्रियों और एक पुत्र ने भी इस शपथ ग्रहण समारोह में उपस्थिति दर्ज कराई ।,reference
133,0,32,train-s2733,"उपराष्ट्रपति भैरो सिंह शेखावत, प्रधानमंत्री मनमोहन सिंह, यूनाइटेड प्रोग्रेसिव एलायंस की अध्यक्ष सोनिया गांधी, उनकी बेटी प्रियंका व पुत्र राहुल गांधी ने भी समाधि पर श्रद्धांजलि अर्पित की.",reference
51,0,26,train-s2755,ये वकील हुबली - धारवाड़ में कर्नाटक हाई कोर्ट की पीठ को गैर जरूरी बताने संबंधी मुख्य न्यायाधीश के बयान पर विरोध जता रहे थे.,reference
15,0,12,train-s2759,कोर्ट ने १० में से ८ मामले वापस ले लिए थे.,reference
36,0,21,train-s2765,अटॅर्नी जनरल मिलन कुमार बनर्जी ने भी इस हफ्ते रक्षा - सचिव अजय विक्रम सिंह को एक पत्र लिखा था.,reference
39,0,20,train-s2787,पुलिस ने इस इलाके और एनसीआर में कई लोगों को हिरासत में लेकर पूछ - ताछ की गई है.,reference
42,-1,21,train-s2795,पुलिस टीम अब घटना - स्थल की कड़ियों को जोड़कर ही किसी अंजाम तक पहुँचने की कवायद कर रही है.,reference
35,0,18,train-s2811,इसकी सूचना भारतीय खुफिया एजेंसियों ने चार -JOIN पाँच दिन पहले अमेरिकी खुफिया एजेंसी एफबीआई को दी.,reference
17,0,13,train-s2813,अमेरिका ने भी पाकिस्तान में अपने अधिकारियों को सतर्क कर दिया है.,reference
15,0,12,train-s2929,दोनों बहनें मिलकर ग्रामीण इलाके में सेक्स रैकेट चला रही हैं ।,reference
32,1,18,train-s2932,यह आजमगढ़ शहर के बेलइसा मुहल्ले में एक युवक को ६५ हजार का चूना लगा चुकी हैं ।,reference
58,0,31,train-s2992,सतलुज जल विद्युत निगम ने प्रधानमंत्री के कार्यक्रम में हुई इस गड़बड़ी को गंभीरता से लेते हुए नाथपा झाकड़ी प्रोजेक्ट के महाप्रबंधक जे. के. शर्मा को मामले की जांच सौंपी ।,reference
27,0,16,train-s2993,श्री शर्मा ने जांच पूरी कर रिपोर्ट अध्यक्ष सह प्रबंध निदेशक को दे दी है ।,reference
15,0,12,train-s3003,निगम ने सुबह साढ़े आठ बजे एसपीजी को सिस्टम सौंप दिया ।,reference
65,-1,26,train-s3030,ज्यादातर लोगों को यह नहीं मालूम होगा कि वर्ष २००६ एक सेकेंड देर से आया लेकिन लोगों ने पूरे जोशोखरोश के साथ नव वर्ष मनाया.,reference
11,-1,10,train-s3060,अमेरिकी सरकार ने यह पाबंदी बुधवार को लगाई थी.,reference
107,0,38,train-s3092,पटना हार्टकोर्ट ने भी गौरव की रिहाई में विलंब पर नाराजगी जताई थी और शुक्रवार को राज्य के पुलिस प्रमुख ए. आर. सिन्हा को गौरव को मुक्त कराकर चार अक्टूबर तक पेश करने के निर्देश दिए थे ।,reference
22,0,22,train-s3115,दो जून की रोटी जुटाने में असमर्थ इस महिला ने पिछले वर्ष अक्तूबर में अपनी तीसरी संतान को जन्म दिया था ।,reference
72,0,34,train-s3139,नौसेनाध्यक्ष एडमिरल अरुण प्रकाश ने नौसेना दिवस की पूर्व संध्या पर एक प्रेस कांफ्रेंस में यह जानकारी देते हुए बताया कि २७ जंगी जहाजों और पनडुब्बियों के लिए ऑर्डर दिया जा चुका है ।,reference
36,0,21,train-s3149,एडमिरल प्रकाश ने मुख्यालय के वाररूम से गोपनीय सूचनाओं की चोरी का जिक्र करते हुए इसे अधिकारियों का विश्वासघात बताया ।,reference
23,0,15,train-s3169,सुपरस्टार अमिताभ बच्चन को सेट पर लौटने में अभी एक महीने का वक्त लगेगा ।,reference
33,0,23,train-s3182,तिब्बतियों के निर्वासित धर्मगुरु दलाई लामा ने बंगलोर में पत्रकारों से चर्चा करते हुए कहा कि शंकराचार्य की गिरफ्तारी बहुत दुखद है ।,reference
75,0,26,train-s3189,चौधरी को तहलका के उजागर किए हथियार सौदे में अपने व्यवसाय में अनियमितताएं बरतने और अवैध तरीके से तोहफे स्वीकार करने का दोषी पाया गया ।,reference
95,0,31,train-s3193,तहलका पोर्टल ने उस समय कई वरिष्ठ अफसरों और नेताओं को अस्तित्वहीन हथियारों की आपूर्ति करने वालों से नकदी व तोहफों की मांग करते और उन्हें लेते हुए दिखाया था ।,reference
53,0,21,train-s3201,आरआईएल एक पाइपलाइन के जरिए गैस की आपूर्ति कृष्णा -JOIN गोदावरी के गैस फील्ड के सीमा क्षेत्र काकीनाडा से आएगी ।,reference
24,0,17,train-s3202,रिलायंस इंडस्ट्रीज ने बंगाल की खाड़ी में १४ खरब घन फीट गैस भंडार खोज निकाला है ।,reference
49,0,21,train-s3205,एनटीपीसी रिलायंस से अपने गुजरात स्थित कवास और गांधार पॉवर प्लांट के लिए ३० लाख टन गैस खरीदने को है ।,reference
47,0,18,train-s3252,"एसीपी तत्काल इंस्पेक्टर ललित मोहन, हृदयेश भूषण और गोविंद शर्मा की टीम को लेकर सहारनपुर पहुंचे ।",reference
45,0,17,train-s3263,पुलिस ने जनमेजय की बाइक और घटनास्थल से .३० बोर की एक रिवाल्वर बरामद की है ।,reference
61,0,28,train-s3264,बिहार सरकार ने सुप्रीम कोर्ट में शपथ दाखिल कर केंद्रीय मंत्री मोहम्मद तसलीमुद्दीन के खिलाफ़ आपराधिक मामलों को वापस लेने के अपने अपने फैसले को सही ठहराया.,reference
115,0,49,train-s3266,"जस्टिस एन संतोष हेगड़े, जस्टिस बीपी सिंह और जस्टिस एसबी सिन्हा की बेंच ने बुधवार को मामले की सुनवाई दो हफ्ते के लिए टाल दी तथा बिहार सरकार के फैसले को चुनौती देने वाली याचिका पर संबंधित पक्षों को अतिरिक्त दस्तावेज दाखिल करने की अनुमति दे दी.",reference
92,0,42,train-s3268,"विधि विभाग द्वारा राज्य सरकार की ओर दाखिल शपथ में साफ़ कहा गया है कि 'मामले (तसलीमुद्दीन के खिलाफ़) को आगे बढ़ाने का कोई लाभ नहीं है, क्योंकि इसमें अभियोजन को सफलता मिलने के आसार नहीं हैं.",reference
71,0,26,train-s3311,वित्त मंत्री पी. चिदंबरम इस साल मार्च से पहले सरकारी कंपनियों में विनिवेश के ज़रिए पांच हज़ार करोड़ रुपये जुटाने का मंसूबा बांधे बैठे हैं.,reference
22,1,14,train-s3363,मैं सहगल साहब के भाई के माध्यम से हीरे के आभूषण खरीदने लगी ।,reference
40,0,22,train-s3422,केंद्र ने सुनामी से बुरी तरह प्रभावित कार निकोबार के लिए आपात चिकित्सा सुविधाओं के साथ डॉक्टरों का दल भेजा है ।,reference
25,0,15,train-s3431,सरकार उन्हें जाल और नौकाएं उपलब्ध कराने के लिए तुरंत कदम उठा रही है ।,reference
21,0,16,train-s3432,सिंह ने प्रभावित इलाकों में महामारी फैलने की आशंका को सिरे से खारिज कर दिया ।,reference
70,0,30,train-s3527,निगम दस्तों ने इस कार्रवाई के दौरान गैस कटर की मदद से मॉल के पिलर को भी काटने की कोशिश की गई लेकिन निगम इन्हें काटने में नाकाम रहा ।,reference
12,0,11,train-s3540,पुलिस ने उससे पूछताछ करके महत्वपूर्ण सुराग हासिल किए हैं ।,reference
39,0,22,train-s3541,पकड़े गए आतंकवादी से पुलिस दिल्ली के सिनेमा हाल में हुए बम कांड के सिलसिले में भी पूछताछ कर रही है ।,reference
10,-1,9,train-s3551,नीटा वहां अपना गिरोह बनाकर अपराध करता रहा ।,reference
9,-1,11,train-s3565,पाकिस्तान के दो एजेंटों ने उसे सीमा पार कराई थी ।,reference
64,0,23,train-s3567,सुप्रीम कोर्ट ने मंगलवार को केंद्र और राज्य सरकारों से शराब पर पूर्ण पाबंदी लगाने पर गंभीरता से विचार करने को कहा ।,reference
29,0,17,train-s3572,अदालत ने राज्य में एक शराब निर्माता से लाइसेंस शुल्क लेने पर रोक लगा दी थी ।,reference
25,0,15,train-s3586,पुलिस ने रफीक़ का शव बरामद कर उसके परिवार वालों को सौंप दिया है ।,reference
32,0,18,train-s3594,सरकार ने अंगों की तस्करी रोकने के लिए मानव अंग ट्रांसप्लांटेशन कानून वर्ष १९९४ में बनाया था ।,reference
30,0,17,train-s3595,सरकार ने स्वेच्छा से दान देने वालों के लिए राहें आसान बनाने की बात कही थी ।,reference
19,0,18,train-s3597,दिल्ली विश्वविद्यालय के कानून विभाग के एक प्रोफेसर ने इस दिशा में अध्ययन करके कुछ निष्कर्ष निकाले ।,reference
18,0,15,train-s3613,भारतीय शोधकर्ता किसी भी संस्थान में जाकर ५ वर्ष तक काम कर सकते हैं ।,reference
74,0,36,train-s3628,जस्टिस वाई. के. सब्बरवाल के नेतृत्व वाली खंडपीठ को वरिष्ठ अधिवक्ता रंजीत कुमार ने अरावली पर्वत से खनन से निकाली गई सामग्री को ले जा रहे सैकड़ों ट्रकों की तस्वीर साक्ष्य के तौर पर दिखाई ।,reference
13,0,15,train-s3670,इसी दौरान एक मकान में छुपे आतंकियों ने जवानों पर फायरिंग शुरू कर दी ।,reference
44,0,24,train-s3713,प्रधान न्यायाधीश ने पुराने पड़ चुके कानूनों और न्यायिक प्रणाली के ओवरहॉल के लिए कोई ठोस कदम न उठाए जाने पर खेद जताया ।,reference
55,0,32,train-s3719,प्रदेश के राज्यपाल बलराम जाखड़ ने प्रधान न्यायाधीश की इस राय से सहमति व्यक्त की कि कार्यपालिका और न्यापालिका एक - दूसरे के पूरक हैं और उनमें समन्वय होना जरूरी है ।,reference
34,0,21,train-s3749,टेंडर कंपनी ने महाप्रबंधक के रिश्वत मांगे जाने की शिकायत सीबीआई के चंडीगढ़ कार्यालय को बुधवार को कर दी थी ।,reference
84,0,36,train-s3758,"टीम ने महाप्रबंधक को रंगे हाथों पकड़ने के बाद उस रिकॉर्ड की भी जांच पड़ताल गहनता से की, जिसके आधार पर रिश्वत देने के बाद केबल दबाने वाली कंपनी को काम अलॉट होना था ।",reference
88,1,28,train-s3785,वह अपने परिवार समेत कोलकाता के नेताजी सुभाष चंद्र बोस अंतर्राष्ट्रीय हवाई अड्डे से बैंकॉक जाने के लिए इंडियन एयरलाइंस का हवाई जहाज़ पकड़ने जा रहे थे ।,reference
44,1,22,train-s3807,"उन्होंने लेफ्टिनेंट गर्वनर रसेल कॉल्विन की कब्र पर चुपचाप फूल चढ़ाए, जबकि वहां फूल - मालाएं लाने की मनाही थी ।",reference
